Date;Or;Platine
199001;410.1;499.1
199002;416.8;517.7
199003;393.1;495.6
199004;374.2;479.1
199005;369.1;487.1
199006;352.3;481.5
199007;362.5;481.1
199008;394.7;494.7
199009;389.3;462.5
199010;380.7;426.6
199011;381.7;423.1
199012;376.9;418
199101;383.6;408
199102;363.8;384.3
199103;363.3;401.6
199104;358.4;398.6
199105;356.9;390.7
199106;366.7;376.9
199107;367.7;377.1
199108;356.3;348.1
199109;348.7;351.5
199110;358.7;363.8
199111;360.2;366.8
199112;361.7;355.5
199201;354.4;343.6
199202;353.9;364.1
199203;344.3;359
199204;338.6;348.4
199205;337.2;359.8
199206;340.8;370.5
199207;352.7;384
199208;343.1;360.5
199209;345.4;363
199210;344.4;359
199211;335;356.6
199212;334.8;362.8
199301;329;360.2
199302;329.3;359.7
199303;330.1;351
199304;342.1;369.4
199305;367.2;385.5
199306;371.9;383.5
199307;392.2;404.2
199308;378.8;392.7
199309;355.3;362.6
199310;364.2;368.3
199311;373.8;375.4
199312;383.3;384.2
199401;386.9;388.7
199402;381.9;394.9
199403;384.1;402.1
199404;377.3;398.4
199405;381.4;399.1
199406;385.6;402
199407;385.5;413.7
199408;380.4;412.3
199409;391.6;417.5
199410;389.8;420.3
199411;384.4;413.6
199412;379.3;411.3
199501;378.6;414.6
199502;376.6;414.7
199503;382.1;418.2
199504;391;450.5
199505;385.2;439.5
199506;387.6;439.7
199507;386.2;433.2
199508;383.7;425.5
199509;383.1;429.9
199510;383.1;412.9
199511;385.3;414
199512;387.4;410.2
199601;399.5;417.1
199602;404.8;421.2
199603;396.2;412
199604;392.8;405.3
199605;391.9;402.1
199606;385.3;393.4
199607;383.5;394.9
199608;387.4;400.8
199609;383.1;390.5
199610;381.1;384.7
199611;377.9;383.9
199612;369;371.2
199701;355.1;360.6
199702;346.6;365.6
199703;351.8;380.4
199704;344.5;372.1
199705;343.8;390.1
199706;340.8;426.5
199707;324.1;415.2
199708;324;426.2
199709;322.8;426
199710;324.9;424.7
199711;306;396.1
199712;288.7;368.6
199801;289.1;377.1
199802;297.5;389.8
199803;295.9;401.9
199804;308.3;416.6
199805;299.1;391.8
199806;292.3;358.2
199807;292.9;381.5
199808;284.1;371.2
199809;289;361.2
199810;295.9;344.4
199811;294.1;349.5
199812;291.7;351.9
199901;287.1;355.9
199902;287.3;366.7
199903;286;371.6
199904;282.6;359.2
199905;276.4;358.2
199906;261.3;358.5
